date,country,node1,node2,orderCode,phRegulU,phRegulN,phRegulNprime,U,angleRegulU,angleRegulD,angleRegulN,angleRegulNprime,angleRegulP,type
2007-05-01,NL,NBGM222T,NBGM222B,1,1.500,10,-1,,,,,,,
2007-05-01,NL,NBGM222T,NBGM1150,1,,,,,,,,,,
2007-05-01,NL,NBGM222T,NBERGU2A,1,,,,,,,,,,
2007-05-01,NL,NHSW222S,NHSW222B,1,1.500,10,6,,,,,,,
2007-05-01,NL,NHSW222S,NZLH115A,1,,,,,,,,,,
2007-05-01,NL,NHSW222S,NHESSE21,1,,,,,,,,,,
2007-05-01,NL,NHSW222U,NHSW222B,1,1.500,10,6,,,,,,,
2007-05-01,NL,NHSW222U,NZLH115B,1,,,,,,,,,,
2007-05-01,NL,NHSW222U,NHESSE23,1,,,,,,,,,,
2007-05-01,NL,NLSM222T,NLSM222B,1,1.500,10,1,,,,,,,
2007-05-01,NL,NLSM222T,NLSM1151,1,,,,,,,,,,
2007-05-01,NL,NLSM222T,NLOUWS2A,1,,,,,,,,,,
2007-05-01,NL,NMEE222T,NMEE222B,1,1.500,10,4,,,,,,,
2007-05-01,NL,NMEE222T,NMEE115B,1,,,,,,,,,,
2007-05-01,NL,NMEE222T,NMEEDE23,1,,,,,,,,,,
2007-05-01,NL,NOHK222U,NOHK222B,1,1.500,10,-1,,,,,,,
2007-05-01,NL,NOHK222U,NOHK1150,1,,,,,,,,,,
2007-05-01,NL,NOHK222U,NOUDEH2A,1,,,,,,,,,,
2007-05-01,NL,NRBB222T,NRBB222B,1,1.500,10,2,,,,,,,
2007-05-01,NL,NRBB222T,NEHM1153,1,,,,,,,,,,
2007-05-01,NL,NRBB222T,NEEMSH22,1,,,,,,,,,,
2007-05-01,NL,NVVL222T,NVVL222B,1,1.500,10,4,,,,,,,
2007-05-01,NL,NVVL222T,NVVL115B,1,,,,,,,,,,
2007-05-01,NL,NVVL222T,NVIERV2A,1,,,,,,,,,,
2007-05-01,NL,NZYV222T,NZYV222B,1,1.500,10,2,,,,,,,
2007-05-01,NL,NZYV222T,NZYV115B,1,,,,,,,,,,
2007-05-01,NL,NZYV222T,NZEYER22,1,,,,,,,,,,
2007-05-01,NL,NBWK381U,NBWK381B,1,1.500,10,3,,,,,,,
2007-05-01,NL,NBWK381U,NZT1503B,1,,,,,,,,,,
2007-05-01,NL,NBWK381U,NBWK-512,1,,,,,,,,,,
2007-05-01,NL,NCST381S,NCST381B,1,1.500,10,2,,,,,,,
2007-05-01,NL,NCST381S,NCRAYE31,1,,,,,,,,,,
2007-05-01,NL,NCST381S,NCST-510,1,,,,,,,,,,
2007-05-01,NL,NCST381U,NCST381B,1,1.500,10,2,,,,,,,
2007-05-01,NL,NCST381U,NCRAYE33,1,,,,,,,,,,
2007-05-01,NL,NCST381U,NCST-512,1,,,,,,,,,,
2007-05-01,NL,NDIM381U,NDIM381B,1,1.500,10,3,,,,,,,
2007-05-01,NL,NDIM381U,NDIM153D,1,,,,,,,,,,
2007-05-01,NL,NDIM381U,NDIM-512,1,,,,,,,,,,
2007-05-01,NL,NDIM381V,NDIM381B,1,1.500,10,3,,,,,,,
2007-05-01,NL,NDIM381V,NDIM153G,1,,,,,,,,,,
2007-05-01,NL,NDIM381V,NDIM-513,1,,,,,,,,,,
2007-05-01,NL,NDTC381S,NDTC381B,1,1.500,10,3,,,,,,,
2007-05-01,NL,NDTC381S,NLGK153A,1,,,,,,,,,,
2007-05-01,NL,NDTC381S,NDTC-510,1,,,,,,,,,,
2007-05-01,NL,NEHV381U,NEHV381B,1,1.500,10,1,,,,,,,
2007-05-01,NL,NEHV381U,NEHVO 3B,1,,,,,,,,,,
2007-05-01,NL,NEHV381U,NEHV-512,1,,,,,,,,,,
2007-05-01,NL,NEHV381V,NEHV381B,1,1.500,10,1,,,,,,,
2007-05-01,NL,NEHV381V,NEHVO 3B,1,,,,,,,,,,
2007-05-01,NL,NEHV381V,NEHV-513,1,,,,,,,,,,
2007-05-01,NL,NENS381T,NENS381B,1,1.500,10,2,,,,,,,
2007-05-01,NL,NENS381T,NENS1150,1,,,,,,,,,,
2007-05-01,NL,NENS381T,NENS-514,1,,,,,,,,,,
2007-05-01,NL,NENS381V,NENS381B,1,1.500,10,3,,,,,,,
2007-05-01,NL,NENS381V,NENS222B,1,,,,,,,,,,
2007-05-01,NL,NENS381V,NENS-510,1,,,,,,,,,,
2007-05-01,NL,NGT3801T,NGT3801B,1,1.500,10,1,,,,,,,
2007-05-01,NL,NGT3801T,NGT1503C,1,,,,,,,,,,
2007-05-01,NL,NGT3801T,NGT--511,1,,,,,,,,,,
2007-05-01,NL,NHGL381T,NHGL381B,1,1.500,10,10,,,,,,,
2007-05-01,NL,NHGL381T,NHGLO 5B,1,,,,,,,,,,
2007-05-01,NL,NHGL381T,NHGL-511,1,,,,,,,,,,
2007-05-01,NL,NKIJ381S,NKIJ381B,1,1.500,10,4,,,,,,,
2007-05-01,NL,NKIJ381S,NKIJ153F,1,,,,,,,,,,
2007-05-01,NL,NKIJ381S,NKIJ-510,1,,,,,,,,,,
2007-05-01,NL,NKIJ381U,NKIJ381B,1,1.500,10,4,,,,,,,
2007-05-01,NL,NKIJ381U,NKIJ153F,1,,,,,,,,,,
2007-05-01,NL,NKIJ381U,NKIJ-512,1,,,,,,,,,,
2007-05-01,NL,NLLS381T,NLLS381B,1,1.500,10,5,,,,,,,
2007-05-01,NL,NLLS381T,NLLS153B,1,,,,,,,,,,
2007-05-01,NL,NLLS381T,NLLS-511,1,,,,,,,,,,
2007-05-01,NL,NMBT381V,NMBT381B,1,1.500,10,1,,,,,,,
2007-05-01,NL,NMBT381V,NMBT153E,1,,,,,,,,,,
2007-05-01,NL,NMBT381V,NMBT-513,1,,,,,,,,,,
2007-05-01,NL,NMBT381U,NMBT381B,1,1.500,10,1,,,,,,,
2007-05-01,NL,NMBT381U,NMBT153F,1,,,,,,,,,,
2007-05-01,NL,NMBT381U,NMBT-512,1,,,,,,,,,,
2007-05-01,NL,NOZN381T,NOZN381B,1,1.500,10,3,,,,,,,
2007-05-01,NL,NOZN381T,NOZN1531,1,,,,,,,,,,
2007-05-01,NL,NOZN381T,NOZN-511,1,,,,,,,,,,
2007-05-01,NL,NERP1531,NERP153B,1,,,,,1.000,90.00,10,0,,ASYM
2007-05-01,NL,NRK10 31,NRK1503B,1,1.670,11,0,,,,,,,
2007-05-01,NL,NRK10 31,NRK1503B,2,1.670,11,0,,,,,,,
2007-05-01,NL,N_GLTK5,NGLTK 5B,1,,,,,,,,,,
2007-05-01,NL,N_HC625,NHCL115B,1,,,,,,,,,,
2007-05-01,NL,N_WKC23,NHMO153B,1,1.546,12,0,,,,,,,
2007-05-01,NL,N_MD123,NWKCM 3A,1,,,,,,,,,,
2007-05-01,NL,N_MD113,NWKCM 3A,1,,,,,,,,,,
2007-05-01,NL,N_MD133,NWKCM 3A,1,,,,,,,,,,
2007-05-01,NL,N_MD143,NWKCM 3A,1,,,,,,,,,,
2007-05-01,NL,N_ES1S3,NTNZ153B,1,2.500,3,0,,,,,,,
2007-05-01,NL,NDOD381U,NDOD381B,1,1.500,10,3,,,,,,,
2007-05-01,NL,NDOD381U,NDOD153A,1,,,,,,,,,,
2007-05-01,NL,NDOD381U,NDOD-512,1,,,,,,,,,,
2007-05-01,NL,NWEW222S,NWEW222B,1,1.520,10,2,,,,,,,
2007-05-01,NL,NWEW222S,NDZW115B,1,,,,,,,,,,
2007-05-01,NL,NWEW222S,NWEW-520,1,,,,,,,,,,
2007-05-01,NL,NBSL381U,NBSL381B,1,1.500,10,2,,,,,,,
2007-05-01,NL,NBSL381U,NBSL153B,1,,,,,,,,,,
2007-05-01,NL,NBSL381U,NBSL-511,1,,,,,,,,,,
2007-05-01,NL,NMEE3811,NMEE381B,A,,,,,4.549,90.00,16,0,,SYMM
2007-05-01,NL,NMEE3812,NMEE381B,C,,,,,4.549,90.00,16,0,,SYMM
2007-05-01,NL,NMEE3813,NMEE381D,B,,,,,4.549,90.00,16,0,,SYMM
2007-05-01,NL,N_RECA3,NRTW1531,1,1.500,10,2,,,,,,,
2007-05-01,NL,N_RECB3,NRTW1530,1,1.500,10,2,,,,,,,
2007-05-01,NL,N_RECX3,NRTW1532,1,1.500,10,2,,,,,,,
2007-05-01,NL,N_SNBV5,NSNB1151,1,1.430,14,3,,,,,,,
2007-05-01,NL,N_EEMS5,NEEM1151,1,,,,,,,,,,
2007-05-01,NL,N_ROC33H,NOM15031,1,,,,,,,,,,
2007-05-01,NL,N_SL201,NSLT201,1,2.500,2,-1,,,,,,,
2007-05-01,NL,N_SL101,NSLT101,1,2.500,2,-1,,,,,,,
2007-05-01,NL,N_SW-13G,N_SW-13H,1,,,,,,,,,,
2007-05-01,NL,N_SW-13S,N_SW-13H,1,,,,,,,,,,
2007-05-01,NL,N_CCC43,NMBT1531,1,,,,,,,,,,
2007-05-01,NL,N_SW-13H,NKRH1531,1,,,,,,,,,,
2007-05-01,NL,N_WKCE3,NEHVN131,1,1.424,13,0,,,,,,,
2007-05-01,NL,N_WKCH3,NHTW1531,1,1.546,12,0,,,,,,,
2007-05-01,NL,N_ALM23,NMKT1530,1,,,,,,,,,,
2007-05-01,NL,N_BG102G,NBGM2221,1,,,,,,,,,,
2007-05-01,NL,N_BG102S,NBGM2221,1,1.025,2,-1,,,,,,,
2007-05-01,NL,N_BG202G,NBGM2220,1,,,,,,,,,,
2007-05-01,NL,N_BG202S,NBGM2220,1,1.025,2,-1,,,,,,,
2007-05-01,NL,N_EC202G,NRBB2221,1,1.025,2,-1,,,,,,,
2007-05-01,NL,N_EC202S,NRBB2221,1,1.025,2,-1,,,,,,,
2007-05-01,NL,N_EC-61,NEC6CA1,1,2.500,2,-1,,,,,,,
2007-05-01,NL,N_EC-71,NEC7CA1,1,2.500,2,-1,,,,,,,
2007-05-01,NL,N_MSEC1,NMSECT1,1,,,,,,,,,,
2007-05-01,NL,N_EC301,NEC30A1,1,,,,,,,,,,
2007-05-01,NL,N_EC311,NEC31A1,1,,,,,,,,,,
2007-05-01,NL,NVHZ381S,NVHZ3810,1,1.732,10,0,,,,,,,
2007-05-01,NL,NVHZ381S,NVHZ1531,1,,,,,,,,,,
2007-05-01,NL,NVHZ381S,NVHZ-510,1,,,,,,,,,,
2007-05-01,NL,NBSL381S,NBSL3810,B,1.500,10,1,,,,,,,
2007-05-01,NL,NBSL381S,NBSL153B,B,,,,,,,,,,
2007-05-01,NL,NBSL381S,NBSL-512,B,,,,,,,,,,
2007-05-01,NL,NBVW381S,NBVW3810,1,1.500,10,1,,,,,,,
2007-05-01,NL,NBVW381S,NBVW153A,1,,,,,,,,,,
2007-05-01,NL,NBVW381S,NBVW-510,1,,,,,,,,,,
2007-05-01,NL,NVHZ381U,NVHZ3811,1,1.732,10,0,,,,,,,
2007-05-01,NL,NVHZ381U,NVHZ1531,1,,,,,,,,,,
2007-05-01,NL,NVHZ381U,NVHZ-512,1,,,,,,,,,,
2007-05-01,NL,N_VN243,NVLN1536,1,,,,,,,,,,
2007-05-01,NL,N_VN253,NVLN1537,1,,,,,,,,,,
2007-05-01,NL,N_IJM_3,NVLN1538,1,,,,,,,,,,
2007-05-01,NL,NSMH381S,NSMH3810,1,1.500,10,0,,,,,,,
2007-05-01,NL,NSMH381S,NSMH153A,1,,,,,,,,,,
2007-05-01,NL,NSMH381S,NSMH-510,1,,,,,,,,,,
2007-05-01,NL,NDOD381S,NDOD3810,1,1.500,10,3,,,,,,,
2007-05-01,NL,NDOD381S,NDOD153A,1,,,,,,,,,,
2007-05-01,NL,NDOD381S,NDOD-510,1,,,,,,,,,,
2007-05-01,NL,NENS381U,NENS3811,1,1.500,10,2,,,,,,,
2007-05-01,NL,NENS381U,NENS1151,1,,,,,,,,,,
2007-05-01,NL,NENS381U,NENS-515,1,,,,,,,,,,
2007-05-01,NL,N_DM341,NDMT341,1,1.000,3,0,,,,,,,
2007-05-01,NL,N_EVIC5,NCVDE151,1,,,,,,,,,,
2007-05-01,NL,N_WG0111,N_WG011A,1,1.025,2,0,,,,,,,
2007-05-01,NL,N_WG0113,N_WG011A,1,1.025,2,0,,,,,,,
2007-05-01,NL,NULW1532,N_LWE63H,1,,,,,,,,,,
2007-05-01,NL,N_LWE63G,N_LWE63H,1,,,,,,,,,,
2007-05-01,NL,N_LWE63S,N_LWE63H,1,,,,,,,,,,
2007-05-01,NL,N_MK123G,N_MK123H,1,,,,,,,,,,
2007-05-01,NL,N_MK123S,N_MK123H,1,,,,,,,,,,
2007-05-01,NL,N_ROC33G,N_ROC33H,1,,,,,,,,,,
2007-05-01,NL,N_ROC33S,N_ROC33H,1,,,,,,,,,,
2007-05-01,NL,NHSW222T,NHSW2220,1,1.500,10,6,,,,,,,
2007-05-01,NL,NHSW222T,NZLH115B,1,,,,,,,,,,
2007-05-01,NL,NHSW222T,NHESSE22,1,,,,,,,,,,
2007-05-01,NL,NEEM381U,NEEM381D,1,1.500,10,2,,,,,,,
2007-05-01,NL,NEEM381U,NEEM222I,1,,,,,,,,,,
2007-05-01,NL,NEEM381U,NEEM-512,1,,,,,,,,,,
2007-05-01,NL,NWL3801S,NWL3801B,1,1.500,10,2,,,,,,,
2007-05-01,NL,NWL3801S,NWL1503A,1,,,,,,,,,,
2007-05-01,NL,NWL3801S,NWL--510,1,,,,,,,,,,
2007-05-01,NL,NZKL381S,NZKL381W,1,1.500,10,6,,,,,,,
2007-05-01,NL,NZKL381S,NZKL222W,1,,,,,,,,,,
2007-05-01,NL,NZKL381S,NZKL0313,1,,,,,,,,,,
2007-05-01,NL,NWL3801U,NWL3801D,1,1.500,10,2,,,,,,,
2007-05-01,NL,NWL3801U,NDLR153A,1,,,,,,,,,,
2007-05-01,NL,NWL3801U,NWL--512,1,,,,,,,,,,
2007-05-01,NL,N_GAVI5,NWTO1150,1,,,,,,,,,,
2007-05-01,NL,NWTR381S,NWTR3811,1,1.500,10,2,,,,,,,
2007-05-01,NL,NWTR381S,NWTR1531,1,,,,,,,,,,
2007-05-01,NL,NWTR381S,NWTR-510,1,,,,,,,,,,
2007-05-01,NL,NWTR381T,NWTR3812,1,1.500,10,2,,,,,,,
2007-05-01,NL,NWTR381T,NWTR153C,1,,,,,,,,,,
2007-05-01,NL,NWTR381T,NWTR-511,1,,,,,,,,,,
2007-05-01,NL,NWTR381U,NWTR3817,1,1.500,10,2,,,,,,,
2007-05-01,NL,NWTR381U,NWTR153D,1,,,,,,,,,,
2007-05-01,NL,NWTR381U,NWTR-512,1,,,,,,,,,,
2007-05-01,NL,NWL3801T,NWL3801A,1,1.500,10,2,,,,,,,
2007-05-01,NL,NWL3801T,NWL1503B,1,,,,,,,,,,
2007-05-01,NL,NWL3801T,NWL--511,1,,,,,,,,,,
2007-05-01,NL,NZKL381T,NZKL381Z,1,1.500,10,6,,,,,,,
2007-05-01,NL,NZKL381T,NZKL222Z,1,,,,,,,,,,
2007-05-01,NL,NZKL381T,NZKL0314,1,,,,,,,,,,
